type,url,notes
home,https://www.srk-car.com/content.asp?carcat=1&carcode=3481,legacy home candidate
content,https://www.srk-car.com/%D7%A6%D7%A8%D7%95-%D7%A7%D7%A9%D7%A8-7.asp,contact page
content,https://www.srk-car.com/%D7%9E%D7%9B%D7%99%D7%A8%D7%AA-%D7%A8%D7%9B%D7%91%D7%99%D7%9D-8.asp,inventory/sales page
content,https://www.srk-car.com/%D7%9E%D7%9B%D7%99%D7%A8%D7%AA-%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%97%D7%93%D7%A9%D7%99%D7%9D-39.asp,new cars page
content,https://www.srk-car.com/%D7%A1%D7%95%D7%9B%D7%A0%D7%95%D7%AA-%D7%A8%D7%9B%D7%91-%D7%91%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%95%D7%9F-42.asp,location SEO page
content,https://www.srk-car.com/%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%9C%D7%9E%D7%9B%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A8%D7%9B%D7%96-62.asp,region SEO page
content,https://www.srk-car.com/%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%9C%D7%9E%D7%9B%D7%99%D7%A8%D7%94-%D7%91%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%95%D7%9F-63.asp,city SEO page
content,https://www.srk-car.com/%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%9C%D7%9E%D7%9B%D7%99%D7%A8%D7%94-%D7%99%D7%93-%D7%A9%D7%A0%D7%99%D7%94-65.asp,used cars page
content,https://www.srk-car.com/%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%9C%D7%9E%D7%9B%D7%99%D7%A8%D7%94-%D7%91%D7%91%D7%AA-%D7%99%D7%9D-66.asp,city SEO page
content,https://www.srk-car.com/%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%9C%D7%9E%D7%9B%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%99%D7%9E%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-80.asp?car=%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD&carcat=0&degem=3&gir=%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD&year=0,financing listing page with params
content,https://www.srk-car.com/%D7%A7%D7%A0%D7%99%D7%99%D7%AA-%D7%A8%D7%9B%D7%91%D7%99%D7%9D-%D7%91%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%95%D7%9F-81.asp?car=%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD&carcat=0&degem=C-4&gir=%EF%BF%BD%EF%BF%BD%EF%BF%BD&year=0,buying cars page with params
vehicle,https://www.srk-car.com/content.asp?carcat=1&carcode=319,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=1&carcode=559,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=1&carcode=1138,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=1&carcode=1682,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=2&carcode=3521,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=3&carcode=723,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=3&carcode=803,legacy vehicle detail
vehicle,https://www.srk-car.com/content.asp?carcat=3&carcode=1612,legacy vehicle detail
